40,49,-1,1,40代半ばの女性
-1,-1,-1,1,女性
0,1,-1,1,生後２か月の娘
-1,-1,-1,1,二児の母
40,49,-1,1,40代女性
1,1,-1,1,1歳3ヶ月の娘
0,1,-1,1,生後3ヶ月になる息子
-1,-1,-1,1,自宅や息子
24,24,-1,1,24歳女性
-1,-1,-1,1,成人女性
-1,-1,-1,1,私の妻
1,1,-1,1,1歳9ヶ月の娘
41,41,-1,1,４１歳女性・色々
19,19,-1,1,19歳、女性
39,39,-1,1,39才の女性
-1,-1,-1,1,快便の主人
36,36,-1,1,３６歳女性
-1,-1,-1,1,（白い母乳のような）しかし
40,49,-1,1,40代の男性
3,3,-1,1,３歳の息子
7,7,-1,1,7歳の息子
-1,-1,-1,1,父
-1,-1,-1,1,完全母乳
5,5,-1,1,5歳の娘
40,49,-1,1,40代前半の女性
27,27,-1,1,子どもを持つ母27歳
-1,-1,-1,1,娘
46,46,-1,1,46歳女性
20,29,-1,1,２０代後半の女性
39,39,-1,1,39歳、女性
1,1,-1,1,1歳の息子
8,8,-1,1,小学校2年生の息子
-1,-1,-1,1,主人
-1,-1,-1,1,私と娘
30,39,-1,1,お願いしいます。３０代。女性
-1,-1,-1,1,主人
15,15,-1,1,15歳の息子
52,52,-1,1,52歳，男性
-1,-1,-1,1,私の父
-1,-1,-1,1,主人
3,3,-1,1,3歳の娘
-1,-1,-1,1,キルギス人の妻
40,49,-1,1,40代女性
-1,-1,-1,1,私の息子現在
-1,-1,-1,1,はじめまして主人
-1,-1,-1,1,主人
1,1,-1,1,1歳の息子
-1,-1,-1,1,一人暮らしの母
-1,-1,-1,1,父
-1,-1,-1,1,主人
-1,-1,-1,1,大丈夫と主人
40,49,-1,1,40代半ばの女性
-1,-1,-1,1,別の男性
20,29,-1,1,20代女性
-1,-1,-1,1,義母
0,1,-1,1,8ヶ月になる息子
40,49,-1,1,40代後半女性
20,29,-1,1,20代女性)。
30,39,-1,1,30代女性
20,29,-1,1,20代女性
20,29,-1,1,20代女性
-1,-1,-1,1,男性
3,3,-1,1,３歳の娘
34,34,-1,1,はじめまして。34歳男性
-1,-1,-1,1,父親
-1,-1,-1,1,外反母趾
20,29,-1,1,２０代女性
28,28,-1,1,28歳女性
-1,-1,-1,1,祖母
-1,-1,-1,1,妻
94,94,-1,1,介護している94歳の母親
-1,-1,-1,1,息子(
49,49,-1,1,49歳既婚女性
1,1,-1,1,生後1歳半の女の子
26,26,-1,1,26歳の男性
36,36,-1,1,36歳、男性
31,31,-1,1,３１歳女性
22,22,-1,1,22歳女性
-1,-1,-1,1,母
-1,-1,-1,1,女性ホルモン
24,24,-1,1,24歳女性
3,3,-1,1,３歳の息子
-1,-1,-1,1,息子
8,8,-1,1,小学2年生の息子
33,33,-1,1,３３歳女性
-1,-1,-1,1,母
1,1,-1,1,1歳9か月の息子
-1,-1,-1,1,５年生になる男の子
52,52,-1,1,52歳になる男性
-1,-1,-1,1,授乳している二児の母
-1,-1,-1,1,父親
-1,-1,-1,1,父
20,29,-1,1,20代男性
-1,-1,-1,1,息子相談
-1,-1,-1,1,母親
-1,-1,-1,1,娘
2,2,-1,1,2歳の息子
-1,-1,-1,1,息子
-1,-1,-1,1,主人
-1,-1,-1,1,息子
-1,-1,-1,1,私の母
-1,-1,-1,1,母
-1,-1,-1,1,父
-1,-1,-1,1,近所の女性
-1,-1,-1,1,父
-1,-1,-1,1,父
7,7,-1,1,7歳の娘
-1,-1,-1,1,娘
51,51,-1,1,５１歳・男性・肥満体形
-1,-1,-1,1,息子
-1,-1,-1,1,妻
-1,-1,-1,1,祖母(
52,52,-1,1,52歳の女性
13,13,-1,1,中学1年生の娘
10,10,-1,1,10歳の男の子
47,47,-1,1,４７歳女性
-1,-1,-1,1,主人
-1,-1,-1,1,（欠伸発作）と診断された娘
-1,-1,-1,1,娘
4,4,-1,1,4歳の娘
50,59,-1,1,50代後半の男性
50,50,-1,1,５０歳男性
30,39,-1,1,30代女性
56,56,-1,1,56歳の女性
26,26,-1,1,26歳の男性
2,2,-1,1,2歳〜19歳までの4人の男の子
42,42,-1,1,42歳の母親
-1,-1,-1,1,主人
23,23,-1,1,こんにちは。23歳女性
50,50,-1,1,50歳の女性
54,54,-1,1,５４才、男性
-1,-1,-1,1,派遣で働く母
23,23,-1,1,２３歳男性
5,5,-1,1,５歳の息子
-1,-1,-1,1,主人
28,28,-1,1,28歳、男性
1,1,-1,1,１歳７カ月の息子
-1,-1,-1,1,祖母
20,29,-1,1,カフェイン中毒の20代の男性
40,49,-1,1,私、40代女性
44,44,-1,1,44才男性
30,39,-1,1,３０代３児の母
20,29,-1,1,現在20代女性
-1,-1,-1,1,妻
40,49,-1,1,40代女性
-1,-1,-1,1,妻
30,30,-1,1,30歳の男性
20,29,-1,1,20代後半の女性
-1,-1,-1,1,主人
1,1,-1,1,1歳の女の子
33,33,-1,1,33歳の男性
-1,-1,-1,1,母
12,12,-1,1,小学6年生息子
4,4,-1,1,4歳の息子
0,1,-1,1,生後10ヶ月の娘
-1,-1,-1,1,娘
0,1,-1,1,４ヶ月を迎える息子
80,80,-1,1,80歳になる母
25,25,-1,1,25歳の女性
-1,-1,-1,1,会社員をしている男性
-1,-1,-1,1,男性
27,27,-1,1,アトピー肌について。27歳女性
16,16,-1,1,16歳の娘
43,43,-1,1,43歳女性
-1,-1,-1,1,父
-1,-1,-1,1,稲妻のよう
-1,-1,-1,1,主人
-1,-1,-1,1,男性
80,89,-1,1,80代の父親
4,4,-1,1,4歳の娘
37,37,-1,1,37歳の男性
-1,-1,-1,1,私も主人
-1,-1,-1,1,主人LDL150
4,4,-1,1,4歳の娘
41,41,-1,1,41歳、女性
7,7,-1,1,7歳児の息子
-1,-1,-1,1,母親
-1,-1,-1,1,主人
-1,-1,-1,1,主人
25,25,-1,1,２５歳、女性
32,32,-1,1,毎回悩みます。32歳女性
40,49,-1,1,40代の女性
58,58,-1,1,58歳男性
-1,-1,-1,1,7ミリ×15ミリ程の母斑
-1,-1,-1,1,主人
38,38,-1,1,38歳の女性
-1,-1,-1,1,娘
29,29,-1,1,29歳、女性
44,44,-1,1,44歳男性
64,64,-1,1,６４歳男性
-1,-1,-1,1,男性
-1,-1,-1,1,男性
-1,-1,-1,1,こちら成人済男性
-1,-1,-1,1,妻
-1,-1,-1,1,妻
3,3,-1,1,3歳の娘
20,29,-1,1,20代女性
16,18,-1,1,高校生の娘
82,82,-1,1,82歳になる母
20,29,-1,1,20代前半の女性
-1,-1,-1,1,母子
65,65,-1,1,65歳男性
-1,-1,-1,1,妻
13,15,-1,1,中学生の息子
6,6,-1,1,6歳の息子
-1,-1,-1,1,母
42,42,-1,1,42歳女性
-1,-1,-1,1,主人
13,15,-1,1,中年男性のよう
-1,-1,-1,1,母親
4,4,-1,1,4才の息子
20,29,-1,1,20代後半女性
30,39,-1,1,30歳代で男性
22,22,-1,1,22歳の娘
40,49,-1,1,40代後半の男性
1,1,-1,1,１歳になる息子
43,43,-1,1,43歳女性
40,49,-1,1,40代女性
-1,-1,-1,1,母親
-1,-1,-1,1,母親
-1,-1,-1,1,祖母
20,29,-1,1,減って以来、戻りません。20代女性
-1,-1,-1,1,女性
-1,-1,-1,1,私の妻
30,39,-1,1,30代、女性
6,6,-1,1,6歳の娘
25,25,-1,1,25歳女性
-1,-1,-1,1,女の子
46,46,-1,1,年齢46歳の女性
37,37,-1,1,３７歳男性
13,13,-1,1,１３歳の男の子
40,49,-1,1,４０代の女性
-1,-1,-1,1,男の子
30,30,-1,1,30歳女性
56,56,-1,1,56歳の女性
-1,-1,-1,1,母乳のよう
30,39,-1,1,三十代女性
13,15,-1,1,入院中の母
39,39,-1,1,現在３９歳の女性
1,1,-1,1,1歳の娘
16,16,-1,1,私の娘(高1)
0,0,-1,1,0歳5か月の娘
-1,-1,-1,1,母乳
-1,-1,-1,1,義母
-1,-1,-1,1,母乳
-1,-1,-1,1,母乳
-1,-1,-1,1,躁鬱の父
2,2,-1,1,2歳になる娘
-1,-1,-1,1,母
30,39,-1,1,30代前半男性
-1,-1,-1,1,娘現在
28,28,-1,1,２８歳男性
-1,-1,-1,1,父
-1,-1,-1,1,父が普通体型、母
-1,-1,-1,1,妻
40,49,-1,1,40代女性
20,29,-1,1,20代男性
31,31,-1,1,身長170cm体重86kgの31歳男性
32,32,-1,1,今年３２歳の女性
40,49,-1,1,４０代の女性
-1,-1,-1,1,男性
-1,-1,-1,1,女性
33,33,-1,1,33歳女性
10,10,-1,1,小4の息子
26,26,-1,1,26歳の主人
18,18,-1,1,高校３年の息子
40,49,-1,1,40代女性
25,25,-1,1,25歳男性
62,62,-1,1,初めまして。62歳女性
29,29,-1,1,29歳男性
16,18,-1,1,高校生の娘
30,39,-1,1,30代男性
28,28,-1,1,はじめまして。28歳女性
1,1,-1,1,１歳5ヶ月の娘
42,42,-1,1,お願いいたします。42歳女性
-1,-1,-1,1,足の裏の母指球当たり
1,1,-1,1,1才になる息子育児中
-1,-1,-1,1,亡くなった父親
64,64,-1,1,６４歳になる父
6,6,-1,1,６歳の娘
-1,-1,-1,1,娘の仲良しの男の子
-1,-1,-1,1,その娘
50,59,-1,1,50代女性
1,1,-1,1,1歳の娘
65,65,-1,1,65歳女性左手親指
-1,-1,-1,1,指先と母指球・少指球
55,55,-1,1,55歳、女性
20,29,-1,1,20代女性
20,29,-1,1,20代前半の男性
3,3,-1,1,３歳女の子
15,15,-1,1,中三の娘
-1,-1,-1,1,娘
30,39,-1,1,30代の女性
40,49,-1,1,40代後半の女性
48,48,-1,1,48歳の母
44,44,-1,1,44歳、息子
-1,-1,-1,1,一人いる女性
2,2,-1,1,二歳の娘
-1,-1,-1,1,週1～2回30分間の女性限定
49,49,-1,1,49歳女性
-1,-1,-1,1,女性ホルモン
38,38,-1,1,38歳男性
0,1,-1,1,生後１０ヶ月の息子
39,39,-1,1,３９歳、女性
-1,-1,-1,1,妻
20,29,-1,1,20代男性
-1,-1,-1,1,女性
40,40,-1,1,40歳の女性
-1,-1,-1,1,お父さん
-1,-1,-1,1,父方
3,3,-1,1,3歳の息子
-1,-1,-1,1,母体側
3,3,-1,1,3歳の息子
30,30,-1,1,女性・30歳
60,69,-1,1,６０代の男性
40,40,-1,1,悩んでいます。40歳女性
-1,-1,-1,1,主人
-1,-1,-1,1,主人
28,28,-1,1,28歳女性
48,48,-1,1,48才女性
-1,-1,-1,1,妻
20,29,-1,1,20代、男性
31,31,-1,1,31歳の女性
44,44,-1,1,44歳女性
55,55,-1,1,５５歳の女性
-1,-1,-1,1,娘
-1,-1,-1,1,歳の女の子
-1,-1,-1,1,歳の女の子の母親
-1,-1,-1,1,娘
-1,-1,-1,1,息子
26,26,-1,1,今26歳女性
-1,-1,-1,1,母
-1,-1,-1,1,母乳
29,29,-1,1,29歳の男性
30,39,-1,1,30代の男性
7,7,-1,1,7歳の息子
42,42,-1,1,42歳、女性
50,50,-1,1,当方、50歳男性
50,59,-1,1,こんにちは。50代女性
31,31,-1,1,31歳男性
32,32,-1,1,32歳になる女性
7,9,-1,1,小学校低学年の息子
-1,-1,-1,1,母乳
28,28,-1,1,28歳男性
