46161,
46393,"でも、3,4ヶ月前くらいから、"
46835,(12月30日)から
46840,(去年の5月頃から
46841,(現在20代後半)から
46842,(現在40代)から
46843,(産前から
46848,)、かなり昔から
46854,"1,2年ほど前から、"
46855,1.5から
46857,1.ヶ月前から
46858,10ヶ月くらい前から
46860,10代から
46861,10代のころから
46862,10代の後半頃から
46863,10代の時から
46866,10代の頃から
46873,10代の頃から、
46875,10代前半頃から
46876,10代後半の頃より
46877,10分ほど放置したらヒリヒリしてから
46878,10年くらい前から
46880,10年くらい前から、
46881,10年ぐらい前から
46882,10年ぐらい前から、
46883,10年ほど前から
46899,10年ほど前から、
46907,10年ほど前からから
46908,10年ほど前より
46909,10年以上前/昔から
46910,10年以上前から
46917,10年以上前から、
46921,10年以上昔から
46922,10年前から
46932,10年前から、
46933,10年前くらいから
46935,10年前くらいから、
46936,10年前くらい前から
46937,10年前ぐらいから
46939,10年前に就職をしてから、
46940,10年前ほどから
46941,10年前位から、
46942,10年程前から
46948,10年程前に強制猥褻未遂、DV他等にあってから
46949,10年近く前から、
46950,10数年前から
46952,10日くらい前から
46954,10日程前から
46955,10時から
46957,10時半から
46958,10月ごろから
46960,10月に生理がきてから
46961,10月中旬から
46962,10月頃から
46964,10歳くらいから
46966,11月7日から
46967,11月から
46969,11月ごろから、
46970,11月に入った頃から
46971,11月に入ってから
46972,11月上旬から
46973,11月中頃から
46974,11月前から
46975,11月頃から
46976,11歳の娘が5日前から、
46977,12/5から
46978,12年前から
46980,12月31日から
46981,12月から
46983,12月くらいから
46984,12月に入ってから、
46986,12月より
46987,12月中旬から、
46988,12月中頃から、
46989,12月末頃から
46990,12月頃から
46991,130から
46992,13年前から
46993,15年くらい前から
46995,15年くらい前から、
46996,15年ほど前から
47001,15年ほど前から、
47005,15年ほど前の思春期の頃から、
47007,15年前から
47009,15年前より
47010,15年程前から
47011,15歳の時から、
47012,15歳位から
47013,16年3月から
47014,16年の11月から
47015,16歳の長女、10か月ほど前から
47018,18から
47019,18の頃から
47020,18歳くらいから
47021,18歳ぐらいから、
47023,18歳ごろから
47024,18歳になってから
47025,19歳から
47027,19歳くらいの時から
47028,1か月ほど前から
47036,1か月ほど前から、
47038,1か月前から
47040,1か月前から、
47043,1か月前くらいから
47044,1か月前くらいから、
47045,1か月前位から、
47047,1か月前頃から、
47048,1か月近く前から
47051,1ケ月くらい前から
47052,1ヵ月ぐらい前から
47055,1ヵ月前から
47057,1ヵ月前くらいから
47058,1ヵ月程前から
47059,1ヶ月から
47061,1ヶ月くらいから、
47062,1ヶ月くらい前から
